author_id	Type	Lang	Stance
2656738964	Scientific actors	en	For
402997564	Private individuals	it	Unclear
4210362921	Unclear	N/A	Unclear
291176818		en	
3171055057	Scientific actors	en	Unclear
783385480163368960	Political actors	fr	Unclear
38848610	Private individuals	en	For
2895393685	Journalistic actors	en	Unclear
856148305	Advocacy actors	en	For
1313814055	Journalistic actors	en	Unclear
878913818184822788	Advocacy actors	en	Unclear
567272864	Journalistic actors	en	Unclear
963307725789769728	Private individuals	en	Unclear
74720323	Business actors	en	Unclear
141137711	Journalistic actors	en	Unclear
1364156376700882947	Unclear	N/A	Unclear
2173489638	Business actors	fr	Unclear
3239636092	Advocacy actors	en	Unclear
82609758	Political actors	en	Unclear
156711834	Political actors	es	Unclear
146620155	Advocacy actors	en	For
288682158	Political actors	fr	Unclear
859444603	Political actors	en	Unclear
453893556	Scientific actors	en	Unclear
782735808	Political actors	en	Unclear
904724121199812608	Political actors	en	Unclear
4208926539	Unclear	N/A	Unclear
4209705555	Unclear	N/A	Unclear
2343406999	Advocacy actors	en	For
97046115	Advocacy actors	es	Unclear
706844409502031872	Political actors	en	Unclear
2562842695	Political actors	en	Unclear
3337923111	Private individuals	es	Unclear
2812472208	Scientific actors	en	Unclear
1044136110899826688	Business actors	en	Unclear
93223785	Private individuals	so	Unclear
18245391	Business actors	en	Unclear
1349974384115593217	Business actors	ca	Unclear
375749713	Political actors	es	For
2601773473	Business actors	es	For
36624467	Advocacy actors	fr	For
418034459	Advocacy actors	en	For
19649135	Advocacy actors	en	For
21875834	Advocacy actors	en	For
921759169	Advocacy actors	en	For
143472281	Advocacy actors	en	For
76594517	Advocacy actors	es	For
1285549032	Advocacy actors	de	Unclear
1427153215573745664	Advocacy actors	en	For
404066616	Scientific actors	fr	Unclear
2349001748	Scientific actors	fr	For
1199371533900222465	Advocacy actors	en	For
1072056336534462464	Private individuals	en	For
1420384364	Advocacy actors	en	Unclear
763351528476438528	Journalistic actors	en	Unclear
720731182409859072	Private individuals	en	Unclear
29701712	Political actors	fr	Unclear
243128682	Political actors	en	Unclear
34867057	Journalistic actors	fr	Unclear
562168451	Political actors	fr	Unclear
195685046	Journalistic actors	fr	Unclear
419316234	Advocacy actors	it	For
21860097	Political actors	en	For
4241941551	Unclear	N/A	Unclear
92739201	Business actors	fr	Unclear
269294187	Journalistic actors	de	For
508938867	Journalistic actors	fr	Unclear
74508903	Private individuals	fr	Unclear
1250170927	Private individuals	nl	Unclear
1516878544877588480	Private individuals	en	Unclear
3414489131	Advocacy actors	en	Unclear
1170216594414243840	Advocacy actors	en	For
116729780	Advocacy actors	en	For
38625677	Advocacy actors	en	For
880742971	Advocacy actors	en	Unclear
81897028	Advocacy actors	es	Unclear
122025737	Scientific actors	es	Unclear
2777132520	Advocacy actors	es	For
86171168	Advocacy actors	es	Unclear
110681941	Advocacy actors	es	For
36144313	Advocacy actors	es	For
208930420	Advocacy actors	en	For
53996964	Advocacy actors	en	Unclear
28193949	Advocacy actors	en	For
511846566	Business actors	en	Unclear
